filename,Class,q_CEN2_All_K6.aln2_Cluster1.fa,q_CEN2_All_K6.aln2_Cluster2.fa,q_CEN2_All_K6.aln2_Cluster3.fa,q_CEN2_All_K6.aln2_Cluster4.fa,q_CEN2_All_K6.aln2_Cluster5.fa,q_CEN2_All_K6.aln2_Cluster6.fa
SML_38_merged.fa,Unique,105841,36771,74456,61355,2568,5691
SML_38_merged.fa,Multi,101886,67879,71454,60207,3942,3934
SML_25_merged.fa,Unique,4122877,1368109,1196452,2810863,37513,16778
SML_25_merged.fa,Multi,4389784,2980069,2882669,2593860,71281,36798
SML_18_merged.fa,Unique,2096114,703742,569341,1363027,20761,6050
SML_18_merged.fa,Multi,2033945,1458216,1457072,1179934,28808,13002
SML_17_merged.fa,Unique,1654634,523466,440306,1070224,14802,4369
SML_17_merged.fa,Multi,1757125,1177491,1203266,1030542,23345,10495
SML_14_merged.fa,Unique,121732,59009,101005,82411,3553,8508
SML_14_merged.fa,Multi,106489,92612,93175,59574,5229,5242
SML_23_merged.fa,Unique,2873369,939785,851665,1988724,26679,15167
SML_23_merged.fa,Multi,3191893,2122026,2072947,1895803,54036,28243
SML_19_merged.fa,Unique,66185,24061,33942,42419,1183,2014
SML_19_merged.fa,Multi,67169,46059,47081,39030,1973,1577
SML_40_merged.fa,Unique,2974259,899037,917309,2137438,23389,14527
SML_40_merged.fa,Multi,3415661,2089574,2084848,2096754,52558,32585
SML_43_merged.fa,Unique,264412,90259,180487,169005,5153,10711
SML_43_merged.fa,Multi,289776,195073,201360,169145,10982,9869
SML_39_merged.fa,Unique,2625086,792716,796482,1891589,20446,12382
SML_39_merged.fa,Multi,3020293,1852914,1850298,1853472,45474,28779
SML_37_merged.fa,Unique,511921,191527,342127,362329,10838,24405
SML_37_merged.fa,Multi,483407,371291,371666,281767,21253,20396
