filename,Class,q_CEN2_All_K6.aln2_Cluster1.fa,q_CEN2_All_K6.aln2_Cluster2.fa,q_CEN2_All_K6.aln2_Cluster3.fa,q_CEN2_All_K6.aln2_Cluster4.fa,q_CEN2_All_K6.aln2_Cluster5.fa,q_CEN2_All_K6.aln2_Cluster6.fa
SML_30_merged.fa,Unique,55801,29211,48991,65729,4218,14883
SML_30_merged.fa,Multi,23906,32165,26852,16669,4555,3924
SML_26_merged.fa,Unique,1688073,913948,375467,2925918,5165,9155
SML_26_merged.fa,Multi,774266,1321108,1132491,534895,6635,3781
SML_25_merged.fa,Unique,2495383,1379301,677752,4308146,9194,10672
SML_25_merged.fa,Multi,1279008,1939705,1634145,892414,12241,6475
SML_22_merged.fa,Unique,59352,32029,51780,72162,6082,21537
SML_22_merged.fa,Multi,24996,35684,29415,17666,6572,5694
SML_21_merged.fa,Unique,526509,289703,484196,772796,7749,19139
SML_21_merged.fa,Multi,207496,357416,318405,151433,9489,8028
SML_23_merged.fa,Unique,1733448,967380,496846,3089021,7418,11401
SML_23_merged.fa,Multi,922975,1382373,1165647,648380,10026,5345
SML_29_merged.fa,Unique,349712,187070,342959,489048,7587,18966
SML_29_merged.fa,Multi,139588,214905,189181,98625,8519,6994
SML_20_merged.fa,Unique,485198,262773,501865,677315,12760,33791
SML_20_merged.fa,Multi,191528,296838,260851,134628,14463,12106
SML_28_merged.fa,Unique,40691,21323,35257,49865,3666,12726
SML_28_merged.fa,Multi,17122,24452,20053,11996,3910,3431
SML_27_merged.fa,Unique,590952,323682,555626,855619,9202,23095
SML_27_merged.fa,Multi,228148,400512,356654,165817,11416,9968
