LibraryID,Sample,Antibody
SML_03_merged.fa,LoCENH3 (-/-),H3K36me2
SML_10_merged.fa,WT (+/+),H3K9me2
SML_11_merged.fa,WT (+/+),H3K27me1
SML_12_merged.fa,WT (+/+),H4K20me1
SML_13_merged.fa,WT (+/+),H3K36me2
SML_14_merged.fa,WT (+/+),INPUT
SML_16_merged.fa,LoCENH3 (-/-),H3K27me1
SML_17_merged.fa,WT (+/+),AtCENH3
SML_18_merged.fa,WT (+/+),AtCENH3
SML_19_merged.fa,LoCENH3 (-/-),AtCENH3
SML_20_merged.fa,LoCENH3 (-/-),H3K9me2
SML_21_merged.fa,LoCENH3 (-/-),H3K27me1
SML_22_merged.fa,LoCENH3 (-/-),H3K27me3
SML_23_merged.fa,LoCENH3 (-/-),LoCENH3
SML_25_merged.fa,LoCENH3 (-/-),LoCENH3
SML_26_merged.fa,WT (+/+),LoCENH3
SML_27_merged.fa,WT (+/+),H3K27me1
SML_28_merged.fa,WT (+/+),H3K27me3
SML_29_merged.fa,LoCENH3 (-/-),H3K9me2
SML_30_merged.fa,LoCENH3 (-/-),H3K27me3
,,
